Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3312,258,6,852,142,4647,201,233,178,2069,1,19,3
3139,158,9,30,19,994,220,267,134,2162,3,22,2
3112,50,16,180,36,1108,229,232,144,1218,2,22,1
3225,36,15,1349,128,1770,215,238,161,422,1,38,19
3238,258,19,108,12,2430,188,235,193,912,1,29,1
2562,186,11,128,169,1480,226,211,112,1988,4,10,3
2156,116,28,30,19,1409,179,235,139,1321,4,10,2
3225,252,26,277,4,5034,216,198,165,4944,1,3,3
2350,52,10,192,33,428,216,219,126,1819,4,5,1
3180,115,6,736,3,1380,231,238,167,2120,2,22,1
2942,133,12,67,8,2085,203,226,170,1521,1,23,1
2295,100,18,204,122,797,231,219,148,995,4,10,3
2963,52,12,424,252,1720,226,218,141,2411,1,29,2
3021,297,14,242,25,4971,130,233,170,1079,2,40,1
2517,356,11,331,55,1016,188,220,146,2082,4,3,6
3245,23,12,1116,87,4242,196,246,192,4109,1,29,2
2543,297,10,180,-3,1708,203,232,156,1847,1,23,1
2546,82,30,252,104,4963,209,202,177,1216,1,1,3
3181,294,7,621,24,968,185,224,172,1358,2,22,1
2522,271,20,227,33,2483,216,221,158,708,3,23,1
3225,55,7,180,-19,2005,235,216,68,1942,2,33,1
2138,210,25,253,1,334,203,215,179,567,4,3,2
2352,75,16,296,17,1464,236,227,124,855,4,10,3
2404,314,15,108,153,3650,192,213,158,642,4,10,3
2114,23,14,267,105,210,215,211,122,1050,4,6,6
3240,1,12,124,31,2108,248,228,120,1449,1,22,2
3204,335,17,30,46,312,209,237,161,102,2,40,7
3193,137,13,175,19,1978,198,254,164,3596,4,32,1
2729,295,17,219,166,853,182,234,193,391,3,32,7
3177,2,6,175,212,1342,245,225,110,4079,2,23,1
3204,162,23,67,16,1156,277,219,137,1434,2,23,1
3416,16,14,258,58,2514,240,214,115,2556,2,29,2
3024,333,16,30,3,4858,231,220,89,1069,3,33,2
2154,51,18,150,-18,4643,227,236,134,1391,4,10,7
2198,50,19,870,80,250,214,188,142,1675,4,10,3
2276,121,16,685,523,1607,186,225,154,969,4,6,6
3336,270,15,30,8,4606,161,238,206,1795,1,29,2
3125,64,16,523,31,724,221,216,126,1048,1,12,2
3278,237,14,124,21,1857,221,223,146,481,1,23,1
3262,345,4,172,42,613,216,204,144,2870,1,29,1
2339,194,17,30,5,240,232,166,179,5038,4,10,3
2232,36,14,212,119,1500,143,225,220,999,4,10,6
3057,8,16,330,88,5520,232,225,120,1985,3,32,2
2288,75,7,227,55,851,232,231,180,526,4,6,3
3081,138,16,90,17,1080,234,210,133,331,1,33,2
2291,122,18,277,60,780,216,230,130,5838,4,10,6
3209,43,6,210,95,1869,246,222,149,603,3,33,2
2778,285,16,442,127,1368,199,235,146,716,2,22,2
2275,32,10,267,167,2881,191,227,161,1014,1,23,2
3060,147,11,512,66,1500,204,227,153,1730,4,10,3
3385,233,13,219,164,1997,197,208,164,2740,2,13,2
2337,43,16,339,13,3260,213,212,108,1089,3,29,2
3139,328,11,413,52,4717,205,246,151,2667,2,33,1
3112,336,15,30,12,2133,208,236,182,615,1,29,1
2342,159,39,754,113,1890,221,237,143,1201,3,10,3
3093,119,14,138,62,2210,248,239,139,685,2,23,1
1902,162,15,310,20,1608,218,222,99,4823,4,10,3
3088,327,12,367,150,1296,186,231,196,1487,4,32,2
3071,273,25,318,144,1261,182,234,177,1265,1,23,2
3205,59,18,369,51,1335,201,201,95,576,2,33,1
3168,68,22,361,140,5872,217,174,151,2476,1,29,2
2880,0,20,60,26,1238,171,201,160,1112,1,10,3
3421,194,4,278,13,388,218,230,148,2177,3,33,2
3282,303,16,213,166,1486,218,244,133,2437,1,23,1
3131,295,24,150,31,2265,158,223,199,3800,3,22,1
2992,153,16,301,116,1538,236,218,132,1850,1,29,1
3012,348,17,190,26,587,167,245,184,653,1,29,2
2155,333,6,151,-4,1826,168,215,176,5092,4,10,1
2958,284,33,30,16,1226,254,211,161,3502,1,23,2
3072,39,25,312,31,797,128,246,172,1823,3,13,3
3209,358,15,672,53,1358,188,215,195,1238,1,29,2
2331,290,25,284,55,1901,229,236,113,6281,3,10,2
3127,355,6,42,6,605,154,222,238,150,3,32,1
3229,346,12,258,67,1110,225,250,164,4468,2,12,1
3062,187,6,436,-3,2081,218,216,158,2910,2,32,1
3330,266,10,494,84,672,210,238,149,1646,1,12,2
2110,310,10,260,28,1258,205,228,161,336,4,10,3
2957,156,10,150,-1,1759,224,231,140,1507,1,29,2
3224,198,31,264,87,1156,206,226,146,521,1,23,1
3347,172,11,67,32,1204,192,233,187,2704,3,33,1
3006,35,10,60,20,1019,215,229,145,1151,3,32,1
3011,6,15,248,68,1523,232,237,138,1937,4,10,3
3433,180,24,201,42,2252,180,220,155,1467,2,24,2
3297,328,25,112,33,3119,138,227,183,4938,2,23,2
3260,311,21,127,35,2828,206,216,106,2309,1,21,1
3466,224,3,283,143,5266,211,229,132,2881,2,22,1
2409,14,9,150,24,1022,222,227,183,1096,1,12,2
3134,300,19,30,30,1551,193,222,151,1769,1,13,2
3208,50,16,153,158,2444,220,243,145,1718,2,10,1
2944,121,12,85,26,3000,229,207,109,1737,1,26,2
3129,335,20,360,34,1512,164,236,181,724,3,23,1
3181,129,9,42,13,300,247,232,125,1284,3,33,1
3022,204,10,1428,250,1760,214,225,143,1190,2,22,1
3494,146,11,553,128,1051,227,233,132,892,1,29,1
3118,382,14,195,27,3164,206,224,126,2433,2,22,2
2138,339,14,270,21,2043,118,238,110,1751,4,10,1
