Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3274.0,26.0,12.0,810.0,-16.0,1698.0,214.0,214.0,134.0,2825.0,2,23,2
3283.0,303.0,11.0,180.0,46.0,2197.0,189.0,235.0,186.0,2089.0,2,33,2
2878.0,53.0,9.0,362.0,-49.0,484.0,226.0,220.0,128.0,1929.0,1,29,2
3173.0,122.0,4.0,270.0,0.0,212.0,228.0,236.0,143.0,1410.0,2,23,2
3306.0,171.0,18.0,480.0,161.0,1237.0,229.0,245.0,140.0,2432.0,3,32,2
3324.0,2.0,5.0,511.0,77.0,902.0,212.0,229.0,155.0,1260.0,2,23,1
3179.0,70.0,12.0,67.0,20.0,2322.0,233.0,217.0,114.0,2659.0,1,29,1
3539.0,28.0,22.0,666.0,127.0,2733.0,206.0,188.0,110.0,1655.0,1,40,1
3227.0,272.0,6.0,240.0,94.0,2737.0,203.0,242.0,178.0,1224.0,3,33,1
3130.0,136.0,17.0,234.0,38.0,150.0,244.0,231.0,109.0,4066.0,2,22,2
2889.0,135.0,12.0,85.0,16.0,1738.0,238.0,235.0,125.0,1200.0,1,29,2
3286.0,291.0,12.0,190.0,40.0,990.0,185.0,238.0,193.0,1595.0,2,22,1
3109.0,294.0,20.0,190.0,70.0,350.0,160.0,231.0,209.0,1793.0,2,22,1
2565.0,352.0,19.0,175.0,55.0,1259.0,182.0,203.0,156.0,1556.0,3,2,2
3019.0,346.0,10.0,297.0,50.0,510.0,200.0,223.0,162.0,1476.0,3,32,2
2583.0,135.0,16.0,240.0,61.0,1209.0,243.0,232.0,113.0,1692.0,3,4,3
2281.0,113.0,34.0,108.0,52.0,1022.0,254.0,183.0,26.0,872.0,4,6,3
3435.0,152.0,14.0,366.0,206.0,3678.0,237.0,239.0,130.0,3153.0,3,39,7
3352.0,99.0,11.0,30.0,-2.0,1612.0,238.0,225.0,117.0,3357.0,2,35,1
3054.0,334.0,10.0,134.0,27.0,362.0,197.0,227.0,169.0,735.0,2,22,1
3263.0,333.0,11.0,457.0,78.0,607.0,196.0,226.0,170.0,153.0,2,24,1
2940.0,35.0,10.0,95.0,8.0,2295.0,219.0,218.0,134.0,485.0,3,31,2
2261.0,1.0,22.0,42.0,10.0,120.0,182.0,192.0,143.0,994.0,4,10,2
2273.0,338.0,24.0,218.0,51.0,741.0,161.0,199.0,172.0,993.0,4,10,6
3182.0,124.0,11.0,297.0,42.0,693.0,238.0,232.0,124.0,2398.0,1,22,1
3328.0,99.0,31.0,630.0,45.0,931.0,252.0,181.0,32.0,5580.0,2,40,1
2466.0,8.0,13.0,150.0,34.0,720.0,205.0,214.0,145.0,1315.0,4,6,3
3241.0,165.0,23.0,543.0,150.0,402.0,233.0,240.0,125.0,3216.0,2,25,1
3226.0,90.0,6.0,470.0,27.0,4817.0,229.0,231.0,136.0,2346.0,1,38,1
3345.0,307.0,25.0,805.0,68.0,1045.0,142.0,215.0,209.0,932.0,2,23,1
2890.0,98.0,24.0,182.0,83.0,190.0,251.0,198.0,60.0,1001.0,1,29,2
2403.0,305.0,18.0,201.0,88.0,1091.0,169.0,228.0,198.0,1471.0,4,10,6
2150.0,314.0,28.0,339.0,132.0,404.0,136.0,206.0,205.0,342.0,4,10,3
3264.0,83.0,17.0,210.0,-14.0,1583.0,241.0,208.0,91.0,1703.0,1,38,1
2070.0,37.0,22.0,469.0,62.0,570.0,213.0,187.0,100.0,402.0,4,5,3
2899.0,317.0,12.0,242.0,61.0,3086.0,189.0,230.0,181.0,2247.0,1,29,2
3215.0,56.0,7.0,553.0,203.0,2565.0,225.0,226.0,135.0,2790.0,3,31,1
2587.0,9.0,17.0,30.0,9.0,1616.0,198.0,204.0,140.0,2840.0,3,17,2
2494.0,165.0,5.0,210.0,-10.0,900.0,225.0,242.0,151.0,4839.0,1,18,2
3138.0,148.0,12.0,240.0,0.0,2021.0,236.0,239.0,132.0,2340.0,1,30,2
3213.0,15.0,12.0,582.0,52.0,1358.0,209.0,215.0,142.0,2438.0,2,23,1
3132.0,143.0,18.0,134.0,54.0,85.0,243.0,233.0,112.0,2781.0,2,32,1
2696.0,299.0,31.0,218.0,122.0,1315.0,118.0,211.0,224.0,918.0,3,33,6
3183.0,69.0,16.0,283.0,39.0,1458.0,235.0,207.0,99.0,4770.0,2,22,1
3294.0,322.0,9.0,60.0,5.0,2190.0,198.0,232.0,173.0,2121.0,2,38,2
3416.0,2.0,18.0,564.0,68.0,4066.0,192.0,202.0,145.0,3501.0,3,39,7
3034.0,80.0,16.0,67.0,16.0,4352.0,240.0,210.0,95.0,2671.0,1,29,2
2539.0,277.0,14.0,300.0,111.0,573.0,180.0,242.0,201.0,258.0,4,6,2
2790.0,124.0,26.0,60.0,0.0,721.0,253.0,211.0,69.0,1425.0,3,13,5
2460.0,319.0,16.0,42.0,10.0,182.0,178.0,224.0,186.0,175.0,4,10,2
3170.0,337.0,7.0,323.0,23.0,1123.0,204.0,230.0,165.0,2335.0,2,23,1
3298.0,333.0,15.0,741.0,70.0,2062.0,184.0,220.0,174.0,834.0,3,32,1
3118.0,311.0,15.0,180.0,52.0,1500.0,178.0,228.0,190.0,2384.0,3,32,2
2291.0,318.0,26.0,162.0,78.0,973.0,142.0,206.0,199.0,162.0,4,10,3
3061.0,134.0,13.0,153.0,17.0,3355.0,241.0,233.0,119.0,626.0,1,29,2
2180.0,275.0,30.0,124.0,40.0,870.0,126.0,230.0,236.0,384.0,4,1,3
3178.0,22.0,8.0,443.0,0.0,642.0,215.0,224.0,145.0,912.0,2,32,2
2298.0,55.0,10.0,30.0,-4.0,150.0,226.0,220.0,127.0,1120.0,4,10,6
2518.0,292.0,11.0,300.0,141.0,899.0,188.0,238.0,189.0,1438.0,4,10,2
3177.0,107.0,8.0,150.0,-1.0,2322.0,234.0,231.0,129.0,912.0,1,23,1
3356.0,15.0,21.0,418.0,117.0,3275.0,196.0,191.0,126.0,2170.0,3,39,7
2977.0,18.0,6.0,30.0,3.0,242.0,216.0,227.0,149.0,90.0,2,22,1
3108.0,105.0,21.0,297.0,49.0,1634.0,250.0,208.0,75.0,2721.0,1,29,2
3435.0,291.0,16.0,655.0,221.0,983.0,173.0,236.0,202.0,1266.0,2,33,1
3267.0,23.0,12.0,780.0,64.0,1831.0,213.0,215.0,137.0,853.0,3,31,1
2555.0,129.0,21.0,218.0,44.0,646.0,249.0,222.0,91.0,904.0,4,4,2
2042.0,119.0,37.0,319.0,137.0,324.0,253.0,180.0,19.0,812.0,4,3,3
2949.0,75.0,15.0,474.0,70.0,1959.0,237.0,210.0,100.0,2638.0,3,32,2
2968.0,248.0,11.0,531.0,68.0,5664.0,197.0,248.0,189.0,5253.0,1,29,2
3421.0,94.0,9.0,700.0,-71.0,900.0,235.0,226.0,122.0,433.0,2,38,7
3237.0,15.0,5.0,60.0,8.0,573.0,216.0,230.0,152.0,1158.0,2,24,2
2997.0,304.0,28.0,234.0,99.0,787.0,132.0,213.0,215.0,2638.0,1,29,1
3324.0,28.0,12.0,481.0,-7.0,1379.0,215.0,213.0,133.0,1846.0,2,38,1
2765.0,338.0,8.0,60.0,6.0,812.0,202.0,228.0,165.0,2143.0,3,11,2
2320.0,12.0,7.0,30.0,0.0,1500.0,213.0,226.0,150.0,511.0,4,10,6
3067.0,262.0,7.0,663.0,68.0,5630.0,202.0,244.0,180.0,3461.0,1,29,2
2870.0,126.0,20.0,180.0,69.0,182.0,249.0,222.0,91.0,1064.0,1,30,2
3077.0,27.0,8.0,170.0,11.0,1500.0,217.0,223.0,142.0,1830.0,3,32,1
3237.0,10.0,13.0,42.0,-5.0,2014.0,206.0,214.0,145.0,4566.0,2,23,1
3241.0,75.0,10.0,457.0,108.0,808.0,233.0,221.0,120.0,5440.0,2,22,1
2232.0,246.0,8.0,309.0,165.0,534.0,205.0,246.0,179.0,247.0,4,2,3
3245.0,77.0,4.0,270.0,41.0,1061.0,226.0,231.0,141.0,892.0,2,32,1
2895.0,49.0,9.0,420.0,0.0,3949.0,224.0,220.0,130.0,3634.0,1,23,2
3132.0,341.0,10.0,270.0,-14.0,631.0,199.0,225.0,165.0,1277.0,2,23,1
2973.0,7.0,22.0,60.0,26.0,553.0,188.0,192.0,135.0,2423.0,1,29,1
2296.0,38.0,13.0,0.0,0.0,1044.0,219.0,211.0,124.0,832.0,4,14,4
2774.0,272.0,23.0,120.0,53.0,1224.0,154.0,240.0,222.0,1528.0,3,13,2
3006.0,320.0,18.0,30.0,6.0,450.0,170.0,219.0,188.0,1100.0,3,32,2
3153.0,246.0,9.0,30.0,4.0,824.0,203.0,247.0,182.0,2317.0,2,23,1
2744.0,81.0,13.0,582.0,34.0,1493.0,237.0,216.0,107.0,2736.0,1,12,2
3330.0,148.0,12.0,30.0,-9.0,1188.0,236.0,239.0,132.0,1273.0,2,38,7
2600.0,162.0,12.0,150.0,-7.0,2603.0,231.0,243.0,142.0,2101.0,3,2,2
2744.0,41.0,15.0,295.0,44.0,2195.0,221.0,205.0,116.0,2208.0,1,29,2
2373.0,218.0,29.0,162.0,103.0,1243.0,175.0,252.0,198.0,484.0,4,1,6
2689.0,37.0,11.0,277.0,12.0,1357.0,219.0,215.0,129.0,1537.0,1,30,2
2940.0,148.0,16.0,42.0,2.0,4536.0,240.0,237.0,121.0,3212.0,1,29,1
2952.0,39.0,15.0,216.0,48.0,4609.0,219.0,205.0,117.0,3751.0,1,29,2
2371.0,122.0,13.0,127.0,25.0,1359.0,242.0,229.0,114.0,531.0,4,6,3
2479.0,353.0,6.0,150.0,28.0,721.0,210.0,230.0,158.0,1237.0,4,6,6
3288.0,165.0,5.0,210.0,-2.0,1651.0,224.0,241.0,152.0,3238.0,2,38,2
3127.0,75.0,7.0,120.0,12.0,1140.0,229.0,226.0,130.0,1945.0,1,23,1
3060.0,18.0,15.0,594.0,144.0,4526.0,208.0,208.0,134.0,3701.0,1,29,1
3343.0,118.0,15.0,309.0,17.0,1087.0,244.0,226.0,106.0,3606.0,2,32,1
2416.0,104.0,16.0,95.0,18.0,560.0,246.0,217.0,95.0,1440.0,4,6,6
2417.0,94.0,15.0,30.0,9.0,990.0,243.0,216.0,99.0,1165.0,4,6,3
2683.0,98.0,13.0,30.0,-6.0,1643.0,240.0,222.0,110.0,2363.0,3,4,2
3184.0,291.0,4.0,0.0,0.0,361.0,208.0,239.0,169.0,1142.0,2,23,1
2598.0,9.0,3.0,330.0,5.0,787.0,216.0,233.0,154.0,5464.0,1,29,2
2981.0,32.0,12.0,30.0,1.0,1068.0,217.0,213.0,129.0,2080.0,3,32,2
2995.0,9.0,6.0,570.0,69.0,5275.0,214.0,228.0,152.0,6284.0,1,29,2
2973.0,125.0,23.0,365.0,70.0,3119.0,251.0,217.0,82.0,1495.0,1,12,2
2819.0,78.0,9.0,604.0,89.0,2994.0,232.0,223.0,123.0,1664.0,3,10,2
3130.0,22.0,5.0,190.0,0.0,484.0,217.0,229.0,149.0,2546.0,2,18,1
3095.0,9.0,6.0,85.0,4.0,3926.0,213.0,227.0,152.0,1115.0,1,29,1
3332.0,180.0,12.0,760.0,130.0,2898.0,224.0,247.0,154.0,1127.0,3,33,7
2623.0,44.0,14.0,0.0,0.0,912.0,222.0,209.0,118.0,1587.0,3,33,2
2075.0,354.0,31.0,376.0,-105.0,750.0,153.0,171.0,144.0,780.0,4,10,6
3517.0,313.0,30.0,228.0,105.0,3159.0,127.0,202.0,208.0,1541.0,1,40,1
3051.0,169.0,21.0,420.0,72.0,1761.0,230.0,243.0,134.0,1410.0,1,29,1
2915.0,330.0,13.0,67.0,6.0,2642.0,189.0,224.0,174.0,618.0,3,22,1
3235.0,106.0,27.0,268.0,23.0,2250.0,253.0,195.0,50.0,4332.0,2,33,1
2256.0,319.0,26.0,467.0,111.0,420.0,145.0,207.0,197.0,1731.0,4,10,3
2245.0,292.0,35.0,67.0,36.0,806.0,104.0,209.0,234.0,658.0,4,10,3
2653.0,58.0,7.0,361.0,102.0,577.0,226.0,225.0,133.0,1630.0,1,12,2
3004.0,17.0,21.0,120.0,34.0,2510.0,197.0,190.0,123.0,1718.0,3,33,1
3378.0,7.0,8.0,108.0,9.0,3425.0,211.0,225.0,151.0,2316.0,1,35,7
3014.0,69.0,6.0,67.0,4.0,4057.0,226.0,228.0,136.0,2505.0,1,29,2
2029.0,61.0,27.0,30.0,26.0,240.0,230.0,173.0,58.0,443.0,4,3,4
3176.0,157.0,14.0,150.0,21.0,2616.0,235.0,241.0,133.0,1084.0,3,32,2
3271.0,112.0,23.0,376.0,90.0,4110.0,252.0,209.0,73.0,1036.0,3,33,1
2751.0,342.0,29.0,216.0,96.0,1581.0,148.0,183.0,165.0,1360.0,3,24,2
3357.0,225.0,18.0,285.0,102.0,3572.0,192.0,254.0,194.0,633.0,1,39,1
2975.0,31.0,19.0,335.0,88.0,1973.0,211.0,194.0,112.0,2750.0,3,33,2
2508.0,264.0,21.0,210.0,75.0,371.0,163.0,244.0,218.0,127.0,4,10,2
3461.0,310.0,19.0,234.0,14.0,1434.0,166.0,224.0,197.0,1820.0,2,40,7
3037.0,10.0,25.0,162.0,52.0,2460.0,185.0,182.0,126.0,1134.0,3,22,1
3152.0,274.0,9.0,696.0,8.0,6316.0,195.0,243.0,187.0,1260.0,1,30,2
2387.0,107.0,9.0,426.0,143.0,1123.0,236.0,229.0,124.0,1129.0,4,2,3
3131.0,180.0,3.0,95.0,1.0,646.0,220.0,241.0,156.0,2407.0,2,19,1
2471.0,6.0,19.0,495.0,127.0,870.0,194.0,200.0,140.0,1458.0,4,6,6
2230.0,299.0,26.0,331.0,187.0,382.0,139.0,220.0,216.0,785.0,4,10,3
2335.0,84.0,14.0,201.0,77.0,661.0,239.0,216.0,105.0,691.0,4,10,3
3271.0,56.0,9.0,750.0,-19.0,1678.0,226.0,221.0,129.0,3042.0,2,23,2
2274.0,14.0,9.0,30.0,0.0,636.0,212.0,222.0,147.0,725.0,4,4,3
2838.0,13.0,9.0,0.0,0.0,3015.0,211.0,221.0,146.0,2308.0,1,23,1
3263.0,239.0,16.0,90.0,25.0,1080.0,188.0,252.0,199.0,1663.0,2,23,1
2793.0,74.0,17.0,376.0,43.0,1765.0,238.0,206.0,93.0,1830.0,1,29,2
3358.0,198.0,3.0,503.0,137.0,1956.0,218.0,242.0,160.0,2317.0,2,32,2
2304.0,359.0,31.0,360.0,147.0,757.0,158.0,166.0,133.0,837.0,4,10,3
3155.0,145.0,15.0,212.0,65.0,162.0,239.0,237.0,123.0,2707.0,2,32,1
3109.0,355.0,6.0,42.0,0.0,391.0,211.0,230.0,157.0,2101.0,2,22,1
3207.0,329.0,4.0,216.0,23.0,150.0,210.0,235.0,163.0,1283.0,2,23,1
3331.0,34.0,19.0,524.0,32.0,1482.0,214.0,195.0,111.0,5113.0,2,24,1
3158.0,328.0,12.0,569.0,-7.0,660.0,190.0,226.0,175.0,1725.0,2,33,1
3079.0,338.0,3.0,571.0,36.0,660.0,214.0,235.0,160.0,752.0,2,23,2
3310.0,40.0,15.0,350.0,19.0,1655.0,220.0,207.0,118.0,4970.0,2,22,1
2018.0,327.0,20.0,30.0,14.0,85.0,167.0,213.0,184.0,819.0,4,17,3
2271.0,243.0,12.0,85.0,31.0,1679.0,197.0,249.0,190.0,932.0,4,2,6
2992.0,19.0,21.0,108.0,22.0,1861.0,200.0,192.0,123.0,3776.0,1,29,1
2945.0,103.0,4.0,30.0,0.0,5785.0,227.0,234.0,141.0,3568.0,1,29,2
2430.0,70.0,8.0,342.0,76.0,335.0,229.0,225.0,129.0,384.0,4,2,3
2172.0,83.0,8.0,0.0,0.0,658.0,231.0,227.0,128.0,1360.0,4,16,4
2926.0,116.0,7.0,90.0,4.0,4024.0,233.0,233.0,133.0,5028.0,1,29,2
