date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.469,4,0.915,0.046,0.447,0.003,0.463,0.671,DOWN
0.425,4,0.447,0.07,0.414,0.003,0.423,0.415,UP
0.867,7,0.404,0.029,0.428,0.002,0.261,0.659,DOWN
0.425,5,0.404,0.088,0.481,0.003,0.423,0.415,UP
0.014,3,0.702,0.055,0.477,0.003,0.423,0.415,DOWN
0.448,4,0.0,0.041,0.546,0.003,0.512,0.475,DOWN
0.474,4,0.745,0.029,0.481,0.002,0.345,0.595,DOWN
0.009,1,0.021,0.042,0.448,0.003,0.423,0.415,DOWN
0.46,6,0.255,0.04,0.422,0.003,0.426,0.49,DOWN
0.438,3,0.298,0.062,0.438,0.003,0.423,0.415,DOWN
0.881,5,0.468,0.029,0.529,0.002,0.556,0.607,DOWN
0.894,7,0.064,0.089,0.475,0.005,0.397,0.699,UP
0.912,4,0.723,0.053,0.438,0.004,0.51,0.436,UP
0.018,1,0.617,0.07,0.407,0.003,0.423,0.415,DOWN
0.023,6,0.787,0.071,0.424,0.003,0.423,0.415,UP
0.009,7,0.787,0.043,0.763,0.003,0.423,0.415,DOWN
0.001,3,0.447,0.044,0.506,0.003,0.423,0.415,DOWN
0.01,3,0.447,0.047,0.636,0.003,0.423,0.415,DOWN
0.005,5,0.319,0.096,0.603,0.003,0.423,0.415,DOWN
0.872,1,0.362,0.052,0.498,0.003,0.396,0.812,UP
0.435,4,0.277,0.06,0.305,0.003,0.423,0.415,UP
0.434,3,0.426,0.052,0.521,0.003,0.423,0.415,DOWN
0.89,3,0.255,0.029,0.444,0.002,0.44,0.45,DOWN
0.456,4,0.426,0.034,0.66,0.002,0.65,0.376,DOWN
0.434,3,0.979,0.058,0.443,0.003,0.423,0.415,UP
0.439,5,0.745,0.058,0.51,0.003,0.423,0.415,UP
0.027,2,0.979,0.085,0.47,0.003,0.423,0.415,UP
0.904,3,0.596,0.082,0.541,0.006,0.476,0.514,DOWN
0.912,3,0.83,0.056,0.533,0.004,0.59,0.504,UP
0.439,5,0.277,0.059,0.417,0.003,0.423,0.415,DOWN
0.438,6,0.191,0.054,0.123,0.003,0.423,0.415,DOWN
