Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
31,No,Low Income,2.0,No,No,0
29,No Record,Middle Income,1.0,Yes,Yes,0
37,No Record,Low Income,6.0,No,Yes,0
30,No,Low Income,1.0,Yes,No,0
30,No Record,Middle Income,2.0,No,Yes,0
37,No Record,Middle Income,2.0,Yes,Yes,0
35,No,Middle Income,3.0,No,Yes,0
30,No,Low Income,1.0,No,No,0
37,No,Middle Income,1.0,No,Yes,0
27,"No, ServicesOpted is 3",Low Income,,Yes,No,0
29,No,Middle Income,2.0,No,No,0
35,No Record,Low Income,3.0,Yes,No,0
34,No Record,Middle Income,1.0,Yes,No,0
30,No,Middle Income,3.0,No,Yes,0
36,Yes,High Income,1.0,No,No,0
29,No Record,Middle Income,1.0,No,Yes,0
30,No,Low Income,3.0,Yes,No,0
38,No,Low Income,1.0,Yes,Yes,1
34,No,Middle Income,4.0,No,Yes,0
34,No Record,Middle Income,1.0,No,Yes,0
30,No Record,Low Income,1.0,Yes,Yes,0
30,Yes,High Income,4.0,No,No,0
38,No,Middle Income,3.0,No,No,0
27,No,Middle Income,5.0,Yes,No,0
29,No,Middle Income,1.0,No,No,1
30,Yes,Low Income,1.0,No,Yes,1
30,No,Middle Income,1.0,No,Yes,0
28,No,Middle Income,1.0,No,Yes,0
27,No Record,Middle Income,4.0,No,No,0
28,No,Low Income,1.0,Yes,Yes,1
30,No,Middle Income,3.0,No,Yes,0
34,No,Middle Income,1.0,No,Yes,0
30,No,Middle Income,3.0,Yes,No,0
27,No Record,Middle Income,5.0,Yes,Yes,0
30,No,Middle Income,1.0,No,No,0
29,No Record,Middle Income,2.0,No,No,0
35,No,Middle Income,1.0,Yes,No,1
31,No,Low Income,1.0,Yes,No,0
30,No,Low Income,6.0,Yes,Yes,0
34,No,Middle Income,4.0,Yes,Yes,0
30,Yes,High Income,1.0,No,No,0
30,No,Middle Income,3.0,No,Yes,0
29,No Record,Middle Income,6.0,No,Yes,0
36,No,Low Income,1.0,Yes,No,0
30,No,Low Income,1.0,Yes,No,0
30,No,Low Income,1.0,No,Yes,0
37,No Record,Low Income,1.0,No,Yes,0
30,Yes,Low Income,1.0,No,No,1
35,Yes,High Income,1.0,No,No,0
34,No Record,Low Income,1.0,No,Yes,0
29,No,Low Income,1.0,No,No,0
35,No,Low Income,3.0,Yes,No,0
29,No Record,Middle Income,6.0,No,Yes,0
35,No,Middle Income,4.0,No,Yes,0
37,No,Middle Income,2.0,Yes,No,0
30,No,Low Income,1.0,Yes,No,0
31,No Record,Middle Income,1.0,Yes,No,0
37,Yes,High Income,5.0,Yes,No,1
37,No Record,Low Income,1.0,Yes,No,0
30,No,Middle Income,1.0,Yes,No,0
34,No Record,Middle Income,1.0,Yes,requentFlyClass is Yes,0
30,Yes,Low Income,1.0,No,No,1
30,No Record,Middle Income,3.0,No,Yes,1
30,No Record,Low Income,1.0,Yes,No,0
30,No,Middle Income,1.0,Yes,No,0
37,No,High Income,1.0,No,Yes,0
37,No Record,Middle Income,2.0,No,Yes,0
27,No Record,Middle Income,3.0,No,Yes,0
36,No,Low Income,1.0,Yes,No,0
30,No Record,Low Income,1.0,Yes,No,1
31,Yes,Low Income,1.0,No,Yes,0
30,No,Middle Income,6.0,"No, ServicesOpted is 3",No,0
30,No,Low Income,1.0,No,No,0
35,No Record,Middle Income,4.0,Yes,Yes,0
37,No,Middle Income,4.0,Yes,No,0
30,No,Low Income,1.0,Yes,No,0
30,No Record,Middle Income,2.0,Yes,No,1
30,No,Middle Income,3.0,Yes,No,0
30,No Record,Middle Income,1.0,No,No,0
28,No Record,Low Income,3.0,No,No,0
30,No Record,Middle Income,1.0,No,Yes,0
30,No,Low Income,1.0,No,No,0
29,No Record,Middle Income,5.0,No,Yes,0
30,No,Middle Income,2.0,Yes,No,0
30,No,Middle Income,1.0,No,Yes,1
30,No,Low Income,1.0,Yes,No,0
27,No,Middle Income,1.0,Yes,Yes,0
28,No Record,Middle Income,3.0,Yes,No,0
30,Yes,High Income,1.0,Yes,No,1
30,No,Low Income,1.0,No,No,0
31,No Record,Low Income,1.0,Yes,No,0
30,Yes,High Income,1.0,No,Yes,0
37,No,Middle Income,3.0,No,No,0
34,No,Middle Income,6.0,No,Yes,0
28,No,Middle Income,1.0,No,Yes,0
30,No,Middle Income,1.0,No,Yes,0
34,No,Middle Income,3.0,No,Yes,0
30,Yes,High Income,1.0,No,No,1
37,Yes,High Income,1.0,No,No,1
28,No Record,Low Income,1.0,Yes,Yes,1
34,Yes,High Income,1.0,No,Yes,0
36,No,Low Income,1.0,Yes,No,0
37,No,Low Income,1.0,No,No,0
31,No,Low Income,1.0,No,Yes,0
35,No,Middle Income,5.0,Yes,No,0
30,No Record,Middle Income,4.0,No,Yes,0
36,No Record,Low Income,1.0,Yes,No,0
30,No,Middle Income,1.0,No,Yes,0
30,No,Middle Income,1.0,No,Yes,0
30,No,Low Income,1.0,Yes,Yes,0
36,No,Middle Income,4.0,No,No,0
28,No,Low Income,1.0,No,Yes,0
28,No,Low Income,1.0,No,No,0
35,No,Middle Income,1.0,No,Yes,0
33,"No Record, AccountSyncedToSocialMedia is No",Middle Income,2.0,No,Yes,0
29,Yes,High Income,1.0,No,No,1
30,No,Middle Income,4.0,No,No,1
30,Yes,Low Income,1.0,Yes,Yes,0
194,No,Middle Income,1.0,No,Yes,0
33,No Record,Middle Income,1.0,No,No,0
30,No,Middle Income,1.0,No,Yes,0
37,Yes,High Income,1.0,No,Yes,1
33,Yes,Low Income,1.0,No,Yes,0
30,No,Low Income,6.0,No,Yes,0
30,No Record,Middle Income,6.0,Yes,Yes,0
30,No,Low Income,2.0,No,No,0
37,No Record,Middle Income,5.0,No,No,0
30,No,Low Income,6.0,Yes,No,0
30,No Record,Low Income,2.0,No,No,0
29,No Record,Middle Income,1.0,No,No,0
30,No,High Income,1.0,Yes,Yes,1
29,No,High Income,1.0,No,No,1
34,No Record,Middle Income,5.0,No,Yes,0
30,No,Middle Income,1.0,No,No,0
35,No,Middle Income,1.0,Yes,Yes,0
29,No,Middle Income,3.0,No,No,0
30,No,Middle Income,2.0,Yes,Yes,0
30,Yes,High Income,1.0,No,No,0
34,No,Middle Income,4.0,No,Yes,1
37,No Record,Low Income,1.0,Yes,"No, ServicesOpted is 1",0
37,No Record,Middle Income,4.0,Yes,Yes,0
29,Yes,High Income,1.0,No,Yes,1
31,No,Low Income,1.0,Yes,Yes,0
30,No,Low Income,2.0,Yes,No,0
33,No,Middle Income,2.0,No,No,0
30,Yes,High Income,1.0,1,Yes,0
30,No,Low Income,6.0,No,Yes,0
28,No,Middle Income,1.0,Yes,No,0
37,No,Middle Income,1.0,No,No,0
30,Yes,High Income,1.0,Yes,No,1
30,Yes,High Income,1.0,Yes,Yes,0
30,No,Middle Income,1.0,Yes,No,1
30,No,Middle Income,5.0,No,Yes,1
30,No Record,Middle Income,4.0,No,Yes,0
31,No,Middle Income,1.0,Yes,No,0
30,No Record,Middle Income,1.0,No,Yes,0
30,No,Middle Income,1.0,No,Yes,0
31,No Record,Middle Income,1.0,Yes,Yes,0
36,No,Middle Income,4.0,No,Yes,0
30,Yes,Low Income,1.0,Yes,No,1
34,No,Middle Income,3.0,No,Yes,0
30,No,Low Income,1.0,Yes,Yes,0
30,No Record,Middle Income,1.0,Yes,Yes,0
37,No,Middle Income,3.0,No,No,0
30,No,Middle Income,3.0,No,No,0
30,No,Low Income,1.0,Yes,Yes,0
31,No Record,Middle Income,3.0,No,Yes,0
30,No Record,Middle Income,1.0,Yes,No,0
30,No,Low Income,1.0,No,Yes,0
30,No Record,Middle Income,3.0,Yes,No,0
36,No Record,Middle Income,1.0,No,Yes,0
30,No,Low Income,5.0,No,No,1
37,Yes,High Income,1.0,No,No,1
30,No,Low Income,5.0,Yes,No,0
37,Yes,High Income,1.0,Yes,No,0
31,No Record,Middle Income,5.0,No,No,0
33,Yes,Low Income,1.0,Yes,No,0
34,No,Low Income,2.0,No,Yes,0
37,Yes,High Income,4.0,No,No,0
30,No,Middle Income,1.0,No,No,0
34,No,Middle Income,1.0,Yes,Yes,0
38,No,Middle Income,3.0,Yes,No,0
28,No Record,MiddleIncome,1.0,"No, Age is 27",Yes,0
30,Yes,Low Income,1.0,Yes,No,0
30,No,Middle Income,2.0,No,Yes,1
29,No,Low Income,2.0,No,No,0
30,Yes,High Income,1.0,Yes,No,0
37,No,Low Income,1.0,Yes,No,0
29,No Record,Middle Income,2.0,Yes,No,0
30,No,Middle Income,2.0,Yes,No,0
34,No,Middle Income,6.0,Yes,Yes,0
29,No,Low Income,1.0,No,Yes,0
37,Yes,High Income,3.0,No,No,0
30,Yes,High Income,1.0,Yes,No,0
27,No,Low Income,1.0,Yes,No,0
30,No,Middle Income,1.0,Yes,No,0
36,No,Low Income,2.0,No,No,1
30,No,Low Income,2.0,No,Yes,1
28,Yes,High Income,1.0,Yes,Yes,1
30,No,Low Income,6.0,No,"Yes, FrequentFlyer is No, AccountSyncedToSocialMedia is No, Age is 27",1
27,No,Middle Income,6.0,Yes,No,1
30,No,Middle Income,1.0,No,Yes,0
30,No,Middle Income,4.0,No,Yes,0
30,No,Middle Income,1.0,Yes,No,0
28,No,Low Income,1.0,Yes,Yes,0
38,No,Low Income,1.0,No,No,0
30,No Record,Middle Income,2.0,Yes,Yes,0
37,No Record,Middle Income,5.0,No,No,0
34,No Record,Low Income,1.0,Yes,Yes,0
30,No,Low Income,4.0,Yes,No,0
36,No,Low Income,3.0,No,No,0
30,No,Middle Income,3.0,No,No,0
37,No,Middle Income,3.0,Yes,No,0
30,Yes,Low Income,1.0,No,No,1
28,No Record,Middle Income,6.0,No,Yes,0
30,No,Middle Income,5.0,Yes,No,0
31,No,Middle Income,4.0,No,No,0
37,No,Middle Income,1.0,Yes,Yes,0
30,Yes,Low Income,1.0,No,No,0
37,No,Low Income,1.0,Yes,No,0
29,Yes,High Income,1.0,Yes,No,1
30,No,Middle Income,5.0,Yes,Yes,0
34,No,Middle Income,5.0,No,No,0
27,Yes,High Income,1.0,No,No,1
37,No,Middle Income,3.0,No,No,0
29,No,Middle Income,2.0,No,No,0
29,No,Middle Income,3.0,No,No,0
37,No,Low Income,2.0,Yes,No,1
37,No,Low Income,3.0,No,Yes,0
35,No,Low Income,1.0,Yes,Yes,0
28,No,Middle Income,1.0,No,No,0
38,No Record,Middle Income,4.0,No,Yes,0
30,No,Middle Income,1.0,Yes,Yes,0
31,No,Low Income,1.0,Yes,Yes,0
